"city_comp","time","state","n","x","city","estimated_population","deaths","confirmed"
"ALTAMIRA-PA",1,"PA",232,1,"ALTAMIRA",115969,2,226
"ALTAMIRA-PA",2,"PA",250,6,"ALTAMIRA",115969,16,612
"ALTAMIRA-PA",3,"PA",250,10,"ALTAMIRA",115969,51,1331
"ARACAJU-SE",1,"SE",250,1,"ARACAJU",664908,33,2843
"ARACAJU-SE",2,"SE",250,2,"ARACAJU",664908,98,5296
"ARACAJU-SE",3,"SE",246,8,"ARACAJU",664908,223,11962
"ARAÇATUBA-SP",1,"SP",190,0,"ARAÇATUBA",198129,4,130
"ARAÇATUBA-SP",2,"SP",250,1,"ARAÇATUBA",198129,7,211
"ARAÇATUBA-SP",3,"SP",250,2,"ARAÇATUBA",198129,14,504
"ARAGUAÍNA-TO",1,"TO",238,0,"ARAGUAÍNA",183381,12,964
"ARAGUAÍNA-TO",2,"TO",200,2,"ARAGUAÍNA",183381,23,2347
"ARAGUAÍNA-TO",3,"TO",250,8,"ARAGUAÍNA",183381,53,3608
"ARAPIRACA-AL",1,"AL",223,0,"ARAPIRACA",233047,7,141
"ARAPIRACA-AL",2,"AL",250,6,"ARAPIRACA",233047,22,682
"ARAPIRACA-AL",3,"AL",250,11,"ARAPIRACA",233047,28,2279
"ARARAQUARA-SP",1,"SP",121,0,"ARARAQUARA",238339,4,160
"ARARAQUARA-SP",2,"SP",247,0,"ARARAQUARA",238339,5,365
"ARARAQUARA-SP",3,"SP",250,1,"ARARAQUARA",238339,10,777
"BACABAL-MA",1,"MA",250,2,"BACABAL",104790,1,177
"BACABAL-MA",2,"MA",250,10,"BACABAL",104790,12,720
"BACABAL-MA",3,"MA",250,24,"BACABAL",104790,16,1568
"BARBACENA-MG",1,"MG",56,0,"BARBACENA",138204,3,41
"BARBACENA-MG",2,"MG",250,0,"BARBACENA",138204,4,301
"BARBACENA-MG",3,"MG",250,0,"BARBACENA",138204,5,317
"BARRA DO GARÇAS-MT",1,"MT",7,0,"BARRA DO GARÇAS",61135,3,61
"BARRA DO GARÇAS-MT",2,"MT",250,1,"BARRA DO GARÇAS",61135,5,92
"BARRA DO GARÇAS-MT",3,"MT",250,2,"BARRA DO GARÇAS",61135,9,172
"BARREIRAS-BA",1,"BA",250,0,"BARREIRAS",156975,0,19
"BARREIRAS-BA",2,"BA",250,0,"BARREIRAS",156975,0,118
"BARREIRAS-BA",3,"BA",250,1,"BARREIRAS",156975,4,261
"BAURU-SP",1,"SP",225,0,"BAURU",379297,12,238
"BAURU-SP",2,"SP",250,1,"BAURU",379297,15,399
"BAURU-SP",3,"SP",250,0,"BAURU",379297,23,983
"BELÉM-PA",1,"PA",247,32,"BELÉM",1499641,965,7954
"BELÉM-PA",2,"PA",250,36,"BELÉM",1499641,1588,14091
"BELÉM-PA",3,"PA",250,11,"BELÉM",1499641,1872,18387
"BELO HORIZONTE-MG",1,"MG",168,0,"BELO HORIZONTE",2521564,36,1316
"BELO HORIZONTE-MG",2,"MG",250,0,"BELO HORIZONTE",2521564,59,2497
"BELO HORIZONTE-MG",3,"MG",250,2,"BELO HORIZONTE",2521564,104,4772
"BLUMENAU-SC",1,"SC",232,0,"BLUMENAU",361855,3,480
"BLUMENAU-SC",2,"SC",239,1,"BLUMENAU",361855,4,699
"BLUMENAU-SC",3,"SC",250,0,"BLUMENAU",361855,6,1146
"BOA VISTA-RR",1,"RR",250,10,"BOA VISTA",419652,54,1533
"BOA VISTA-RR",2,"RR",250,54,"BOA VISTA",419652,122,4423
"BOA VISTA-RR",3,"RR",250,48,"BOA VISTA",419652,215,8823
"BRASÍLIA-DF",1,"DF",240,0,"BRASÍLIA",3055149,79,4957
"BRASÍLIA-DF",2,"DF",250,2,"BRASÍLIA",3055149,196,15015
"BRASÍLIA-DF",3,"DF",250,2,"BRASÍLIA",3055149,449,33096
"BREVES-PA",1,"PA",250,53,"BREVES",103497,50,420
"BREVES-PA",2,"PA",250,26,"BREVES",103497,63,632
"BREVES-PA",3,"PA",250,20,"BREVES",103497,70,1047
"CAÇADOR-SC",1,"SC",192,0,"CAÇADOR",79313,1,18
"CAÇADOR-SC",2,"SC",250,0,"CAÇADOR",79313,1,26
"CAÇADOR-SC",3,"SC",250,0,"CAÇADOR",79313,4,63
"CÁCERES-MT",1,"MT",208,0,"CÁCERES",94861,3,19
"CÁCERES-MT",2,"MT",215,0,"CÁCERES",94861,5,43
"CÁCERES-MT",3,"MT",250,0,"CÁCERES",94861,7,158
"CACHOEIRO DE ITAPEMIRIM-ES",1,"ES",250,0,"CACHOEIRO DE ITAPEMIRIM",210589,4,137
"CACHOEIRO DE ITAPEMIRIM-ES",2,"ES",250,3,"CACHOEIRO DE ITAPEMIRIM",210589,18,573
"CACHOEIRO DE ITAPEMIRIM-ES",3,"ES",250,7,"CACHOEIRO DE ITAPEMIRIM",210589,54,1366
"CAICÓ-RN",1,"RN",5,0,"CAICÓ",68343,0,17
"CAICÓ-RN",2,"RN",250,0,"CAICÓ",68343,1,70
"CAICÓ-RN",3,"RN",250,5,"CAICÓ",68343,4,272
"CAMPINA GRANDE-PB",1,"PB",39,0,"CAMPINA GRANDE",411807,9,421
"CAMPINA GRANDE-PB",2,"PB",250,14,"CAMPINA GRANDE",411807,44,2473
"CAMPINA GRANDE-PB",3,"PB",250,3,"CAMPINA GRANDE",411807,85,5815
"CAMPINAS-SP",1,"SP",237,2,"CAMPINAS",1213792,45,1192
"CAMPINAS-SP",2,"SP",250,1,"CAMPINAS",1213792,104,2717
"CAMPINAS-SP",3,"SP",250,4,"CAMPINAS",1213792,253,6324
"CAMPO GRANDE-MS",1,"MS",113,0,"CAMPO GRANDE",906092,6,222
"CAMPO GRANDE-MS",2,"MS",203,0,"CAMPO GRANDE",906092,8,398
"CAMPO GRANDE-MS",3,"MS",250,1,"CAMPO GRANDE",906092,8,1554
"CAMPOS DOS GOYTACAZES-RJ",1,"RJ",21,0,"CAMPOS DOS GOYTACAZES",511168,14,372
"CAMPOS DOS GOYTACAZES-RJ",2,"RJ",189,2,"CAMPOS DOS GOYTACAZES",511168,46,954
"CAMPOS DOS GOYTACAZES-RJ",3,"RJ",250,4,"CAMPOS DOS GOYTACAZES",511168,82,1635
"CARUARU-PE",1,"PE",39,0,"CARUARU",365278,19,202
"CARUARU-PE",2,"PE",222,4,"CARUARU",365278,43,554
"CARUARU-PE",3,"PE",250,2,"CARUARU",365278,94,1389
"CASCAVEL-PR",1,"PR",248,1,"CASCAVEL",332333,6,175
"CASCAVEL-PR",2,"PR",250,0,"CASCAVEL",332333,10,756
"CASCAVEL-PR",3,"PR",250,10,"CASCAVEL",332333,32,2114
"CASTANHAL-PA",1,"PA",250,33,"CASTANHAL",203251,65,372
"CASTANHAL-PA",2,"PA",250,23,"CASTANHAL",203251,117,966
"CASTANHAL-PA",3,"PA",250,15,"CASTANHAL",203251,165,1459
"CAXIAS DO SUL-RS",1,"RS",250,0,"CAXIAS DO SUL",517451,3,107
"CAXIAS DO SUL-RS",2,"RS",250,0,"CAXIAS DO SUL",517451,5,230
"CAXIAS DO SUL-RS",3,"RS",250,0,"CAXIAS DO SUL",517451,12,765
"CAXIAS-MA",1,"MA",250,0,"CAXIAS",165525,3,71
"CAXIAS-MA",2,"MA",250,1,"CAXIAS",165525,12,423
"CAXIAS-MA",3,"MA",250,13,"CAXIAS",165525,22,843
"CHAPECÓ-SC",1,"SC",250,0,"CHAPECÓ",224013,2,626
"CHAPECÓ-SC",2,"SC",250,0,"CHAPECÓ",224013,5,1021
"CHAPECÓ-SC",3,"SC",250,3,"CHAPECÓ",224013,10,2287
"COLATINA-ES",1,"ES",222,0,"COLATINA",123400,3,152
"COLATINA-ES",2,"ES",250,2,"COLATINA",123400,5,492
"COLATINA-ES",3,"ES",250,4,"COLATINA",123400,25,1254
"CORRENTE-PI",1,"PI",250,0,"CORRENTE",26709,0,17
"CORRENTE-PI",2,"PI",250,0,"CORRENTE",26709,0,26
"CORRENTE-PI",3,"PI",250,0,"CORRENTE",26709,0,36
"CORUMBÁ-MS",1,"MS",250,0,"CORUMBÁ",112058,0,12
"CORUMBÁ-MS",2,"MS",250,0,"CORUMBÁ",112058,0,86
"CORUMBÁ-MS",3,"MS",250,2,"CORUMBÁ",112058,6,238
"CRATEÚS-CE",1,"CE",247,2,"CRATEÚS",75159,4,79
"CRATEÚS-CE",2,"CE",250,2,"CRATEÚS",75159,9,270
"CRATEÚS-CE",3,"CE",250,10,"CRATEÚS",75159,21,608
"CRICIÚMA-SC",1,"SC",250,0,"CRICIÚMA",217311,6,323
"CRICIÚMA-SC",2,"SC",185,0,"CRICIÚMA",217311,9,408
